"X","name","Gender","Eye.color","Race","Hair.color","Height","Publisher","Skin.color","Alignment","Weight"
447,"Meteorite","Female",NA,NA,NA,NA,"Marvel Comics",NA,"good",NA
453,"Minna Murray","Female",NA,NA,NA,NA,"Wildstorm",NA,"good",NA
454,"Misfit","Female","blue",NA,"Red",NA,"DC Comics",NA,"good",NA
455,"Miss Martian","Female","red",NA,"Red",178,"DC Comics",NA,"good",61
462,"Mockingbird","Female","blue","Human","Blond",175,"Marvel Comics",NA,"good",61
469,"Monica Dawson","Female",NA,NA,NA,NA,"NBC - Heroes",NA,"good",NA
471,"Moonstone","Female","blue",NA,"Blond",180,"Marvel Comics",NA,"bad",59
477,"Ms Marvel II","Female","blue",NA,"Red",173,"Marvel Comics",NA,"good",61
480,"Mystique","Female","yellow (without irises)","Mutant","Red / Orange",178,"Marvel Comics","blue","bad",54
483,"Namora","Female","blue",NA,"Blond",180,"Marvel Comics",NA,"good",85
484,"Namorita","Female","blue",NA,"Blond",168,"Marvel Comics",NA,"good",101
487,"Nebula","Female","blue","Luphomoid","No Hair",185,"Marvel Comics","blue","bad",83
488,"Negasonic Teenage Warhead","Female","black","Mutant","Black",NA,"Marvel Comics",NA,"good",NA
492,"Niki Sanders","Female","blue",NA,"Blond",NA,"NBC - Heroes",NA,"good",NA
493,"Nina Theroux","Female",NA,"Alpha",NA,NA,"SyFy",NA,"good",NA
497,"Nova","Female","white","Human / Cosmic","Red",163,"Marvel Comics","gold","good",59
505,"Oracle","Female","blue","Human","Red",178,"DC Comics",NA,"good",59
512,"Penance I","Female",NA,NA,NA,NA,"Marvel Comics",NA,"good",NA
517,"Phantom Girl","Female","blue",NA,"Black",168,"DC Comics",NA,"good",54
518,"Phoenix","Female","green","Mutant","Red",168,"Marvel Comics",NA,"good",52
522,"Plastique","Female","blue",NA,"Red",168,"DC Comics",NA,"bad",55
523,"Poison Ivy","Female","green","Human","Red",168,"DC Comics","green","bad",50
524,"Polaris","Female","green","Mutant","Green",170,"Marvel Comics",NA,"good",52
525,"Power Girl","Female","blue","Kryptonian","blond",180,"DC Comics",NA,"good",81
531,"Psylocke","Female","blue","Mutant","Purple",180,"Marvel Comics",NA,"good",70
541,"Rachel Pirzad","Female",NA,"Alpha",NA,NA,"SyFy",NA,"good",NA
544,"Raven","Female","indigo","Human","Black",165,"DC Comics",NA,"neutral",50
556,"Renata Soliz","Female",NA,NA,NA,NA,"HarperCollins",NA,"good",NA
557,"Rey","Female","hazel","Human","Brown",297,"George Lucas",NA,"good",NA
562,"Ripcord","Female","green",NA,"Black",180,"Marvel Comics",NA,"good",72
567,"Robin VI","Female","green","Human","Red",NA,"DC Comics",NA,"neutral",NA
569,"Rogue","Female","green",NA,"Brown / White",173,"Marvel Comics",NA,"good",54
573,"Sage","Female","blue",NA,"Black",170,"Marvel Comics",NA,"good",61
581,"Scarlet Witch","Female","blue","Mutant","Brown",170,"Marvel Comics",NA,"bad",59
582,"Scorpia","Female","green",NA,"Red",NA,"Marvel Comics",NA,"bad",NA
587,"Shadow Lass","Female","black","Talokite","Black",173,"DC Comics","blue","good",54
588,"Shadowcat","Female","hazel","Mutant","Brown",168,"Marvel Comics",NA,"good",50
591,"She-Hulk","Female","green","Human","Green",201,"Marvel Comics",NA,"good",315
592,"She-Thing","Female","blue","Human / Radiation","No Hair",183,"Marvel Comics",NA,"good",153
594,"Shriek","Female","yellow / blue",NA,"Black",173,"Marvel Comics",NA,"good",52
595,"Shrinking Violet","Female",NA,NA,NA,NA,"DC Comics",NA,"good",NA
596,"Sif","Female","blue","Asgardian","Black",188,"Marvel Comics",NA,"good",191
597,"Silk","Female","brown","Human","Black",NA,"Marvel Comics",NA,"good",NA
598,"Silk Spectre","Female",NA,NA,NA,NA,"DC Comics",NA,"good",NA
599,"Silk Spectre II","Female",NA,NA,NA,NA,"DC Comics",NA,"good",NA
601,"Silverclaw","Female","brown",NA,"Black",157,"Marvel Comics",NA,"good",50
604,"Siren","Female","blue","Atlantean","Purple",175,"DC Comics",NA,"bad",72
605,"Siren II","Female","black",NA,NA,NA,"DC Comics",NA,"bad",NA
606,"Siryn","Female","blue",NA,"Strawberry Blond",168,"Marvel Comics",NA,"bad",52
609,"Snowbird","Female","white",NA,"Blond",178,"Marvel Comics",NA,"good",49
612,"Songbird","Female","green",NA,"Red / White",165,"Marvel Comics",NA,"good",65
618,"Speedy","Female","green","Human","Brown",NA,"DC Comics",NA,"good",NA
620,"Spider-Girl","Female","blue","Human","Brown",170,"Marvel Comics",NA,"good",54
621,"Spider-Gwen","Female","blue","Human","Blond",165,"Marvel Comics",NA,"good",56
625,"Spider-Woman","Female","green","Human","Black",178,"Marvel Comics",NA,"good",59
626,"Spider-Woman II","Female",NA,NA,NA,NA,"Marvel Comics",NA,"good",NA
627,"Spider-Woman III","Female","brown",NA,"Brown",173,"Marvel Comics",NA,"good",55
628,"Spider-Woman IV","Female","red",NA,"White",178,"Marvel Comics",NA,"bad",58
631,"Stacy X","Female",NA,NA,NA,NA,"Marvel Comics",NA,"good",NA
634,"Starfire","Female","green","Tamaranean","Auburn",193,"DC Comics","orange","good",71
635,"Stargirl","Female","blue","Human","Blond",165,"DC Comics",NA,"good",62
638,"Stephanie Powell","Female",NA,NA,"Blond",NA,"ABC Studios",NA,"good",NA
640,"Storm","Female","blue","Mutant","White",180,"Marvel Comics",NA,"good",57
645,"Supergirl","Female","blue","Kryptonian","Blond",165,"DC Comics",NA,"good",54
654,"T-X","Female",NA,"Cyborg",NA,NA,"Dark Horse Comics","silver","bad",149
656,"Tempest","Female","brown",NA,"Black",163,"Marvel Comics",NA,"good",54
662,"Thor Girl","Female","blue","Asgardian","Blond",175,"Marvel Comics",NA,"good",143
667,"Thundra","Female","green",NA,"Red",218,"Marvel Comics",NA,"good",158
669,"Tigra","Female","green",NA,"Auburn",178,"Marvel Comics",NA,"good",81
675,"Tracy Strauss","Female",NA,NA,NA,NA,"NBC - Heroes",NA,"good",NA
678,"Triplicate Girl","Female","purple",NA,"Brown",168,"DC Comics",NA,"good",59
681,"Ultragirl","Female","blue",NA,"Blond",168,"Marvel Comics",NA,"good",105
684,"Vagabond","Female","blue",NA,"Strawberry Blond",168,"Marvel Comics",NA,"good",54
685,"Valerie Hart","Female","hazel",NA,"Black",175,"Team Epic TV",NA,"good",56
686,"Valkyrie","Female","blue",NA,"Blond",191,"Marvel Comics",NA,"good",214
693,"Vertigo II","Female","blue",NA,"Silver",168,"Marvel Comics",NA,"good",52
695,"Vindicator","Female","green","Human","Red",165,"Marvel Comics",NA,"good",54
698,"Violet Parr","Female","violet","Human","Black",137,"Dark Horse Comics",NA,"good",41
701,"Vixen","Female","amber","Human","Black",175,"DC Comics",NA,"good",63
706,"Warbird","Female","blue",NA,"Blond",180,"Marvel Comics",NA,"good",54
710,"Wasp","Female","blue","Human","Auburn",163,"Marvel Comics",NA,"good",50
713,"White Canary","Female","brown","Human","Black",NA,"DC Comics",NA,"bad",NA
714,"White Queen","Female","blue",NA,"Blond",178,"Marvel Comics",NA,"good",65
718,"Wolfsbane","Female","green",NA,"Auburn",366,"Marvel Comics",NA,"good",473
720,"Wonder Girl","Female","blue","Demi-God","Blond",165,"DC Comics",NA,"good",51
722,"Wonder Woman","Female","blue","Amazon","Black",183,"DC Comics",NA,"good",74
723,"Wondra","Female",NA,NA,NA,NA,"Marvel Comics",NA,"good",NA
725,"X-23","Female","green","Mutant / Clone","Black",155,"Marvel Comics",NA,"good",50
729,"Yellowjacket II","Female","blue","Human","Strawberry Blond",165,"Marvel Comics",NA,"good",52
732,"Zatanna","Female","blue","Human","Black",170,"DC Comics",NA,"good",57
